id,FirstFound,LastChecked,LastPresent,Fate,Freq,Year,Island,N,Dens_Index,Type,Veg,place,Cause,PredType,StartAge
L02-3,18,40,41,1,1,2018,LeDuck,296,4,c,vine,i,NA,NA,16
L02-4,35,54,55,1,1,2018,LeDuck,296,4,c,grass,i,A,NA,5
L6-1-17,5,26,27,1,1,2018,LeDuck,296,6,c,vine,p,P,YCNH,5
L6-3,5,31,32,1,1,2018,LeDuck,296,6,c,vine,p,NA,NA,5
L6-5,5,28,29,1,1,2018,LeDuck,296,6,c,vine,p,NA,NA,3
LE,5,22,23,1,1,2018,LeDuck,296,1,c,grass,p,A,NA,5
LK-1,5,15,16,1,1,2018,LeDuck,296,1,gv,vine,p,A,NA,5
LK2-1,16,37,38,1,1,2018,LeDuck,296,2,gv,vine,p,A,NA,5
LL-1,5,31,32,1,1,2018,LeDuck,296,4,gv,vine,i,NV,NA,5
LN-1,5,31,32,1,1,2018,LeDuck,296,3,c,vine,p,NA,NA,5
LN-2,5,24,25,1,1,2018,LeDuck,296,3,gv,vine,p,P,NA,5
LS-1,5,31,32,1,1,2018,LeDuck,296,1,c,grass,i,P,HC,5
S4-1,9,23,24,1,1,2018,Shark,440,5,gv,vine,i,P,HC,1
S4-2,9,27,28,1,1,2018,Shark,440,5,c,vine,i,NA,NA,-3
S4-3,9,25,26,1,1,2018,Shark,440,5,c,vine,i,P,HC,1
S4-4,9,27,28,1,1,2018,Shark,440,5,c,vine,i,P,GREG,2
S5-2,9,29,30,1,1,2018,Shark,440,2,c,grass,i,P,NA,3
SO-1,9,37,38,1,1,2018,Shark,440,5,gv,litter,i,P,GREG,1
SO-2,9,37,38,1,1,2018,Shark,440,5,gv,litter,i,P,GREG,-1
SO-3,9,37,38,1,1,2018,Shark,440,5,gv,litter,i,P,GREG,1
SY-1,9,18,19,1,1,2018,Shark,440,3,b ,rock,i,P,GREG,1
SY-2,9,18,19,1,1,2018,Shark,440,3,b ,rock,i,P,GREG,1
SY-3,9,18,19,1,1,2018,Shark,440,3,b ,rock,i,P,GREG,1
